Kategoria: Wszystko

Tydzień,Klimat: (Cały świat)
2018-01-07,38
2018-01-14,42
2018-01-21,36
2018-01-28,36
2018-02-04,35
2018-02-11,33
2018-02-18,34
2018-02-25,33
2018-03-04,24
2018-03-11,32
2018-03-18,34
2018-03-25,30
2018-04-01,33
2018-04-08,34
2018-04-15,33
2018-04-22,35
2018-04-29,36
2018-05-06,37
2018-05-13,38
2018-05-20,38
2018-05-27,36
2018-06-03,37
2018-06-10,39
2018-06-17,34
2018-06-24,33
2018-07-01,32
2018-07-08,48
2018-07-15,67
2018-07-22,71
2018-07-29,76
2018-08-05,78
2018-08-12,77
2018-08-19,76
2018-08-26,73
2018-09-02,74
2018-09-09,69
2018-09-16,71
2018-09-23,65
2018-09-30,64
2018-10-07,68
2018-10-14,70
2018-10-21,65
2018-10-28,60
2018-11-04,62
2018-11-11,72
2018-11-18,65
2018-11-25,69
2018-12-02,68
2018-12-09,72
2018-12-16,67
2018-12-23,69
2018-12-30,76
2019-01-06,72
2019-01-13,74
2019-01-20,67
2019-01-27,73
2019-02-03,70
2019-02-10,71
2019-02-17,76
2019-02-24,72
2019-03-03,73
2019-03-10,52
2019-03-17,29
2019-03-24,25
2019-03-31,27
2019-04-07,25
2019-04-14,25
2019-04-21,25
2019-04-28,26
2019-05-05,26
2019-05-12,27
2019-05-19,29
2019-05-26,27
2019-06-02,28
2019-06-09,30
2019-06-16,26
2019-06-23,28
2019-06-30,29
2019-07-07,29
2019-07-14,26
2019-07-21,29
2019-07-28,26
2019-08-04,27
2019-08-11,27
2019-08-18,28
2019-08-25,29
2019-09-01,31
2019-09-08,30
2019-09-15,35
2019-09-22,36
2019-09-29,60
2019-10-06,88
2019-10-13,92
2019-10-20,90
2019-10-27,94
2019-11-03,87
2019-11-10,97
2019-11-17,81
2019-11-24,87
2019-12-01,83
2019-12-08,87
2019-12-15,95
2019-12-22,95
2019-12-29,90
2020-01-05,85
2020-01-12,85
2020-01-19,100
2020-01-26,85
2020-02-02,100
2020-02-09,89
2020-02-16,92
2020-02-23,85
2020-03-01,81
2020-03-08,84
2020-03-15,76
2020-03-22,69
2020-03-29,72
2020-04-05,70
2020-04-12,71
2020-04-19,72
2020-04-26,66
2020-05-03,77
2020-05-10,73
2020-05-17,80
2020-05-24,92
2020-05-31,95
2020-06-07,89
2020-06-14,84
2020-06-21,90
2020-06-28,88
2020-07-05,85
2020-07-12,87
2020-07-19,81
2020-07-26,88
2020-08-02,83
2020-08-09,84
2020-08-16,99
2020-08-23,94
2020-08-30,91
2020-09-06,90
2020-09-13,90
2020-09-20,80
2020-09-27,80
2020-10-04,81
2020-10-11,79
2020-10-18,81
2020-10-25,85
2020-11-01,66
2020-11-08,75
2020-11-15,78
2020-11-22,71
2020-11-29,85
2020-12-06,80
2020-12-13,84
2020-12-20,79
2020-12-27,84
2021-01-03,75
2021-01-10,86
2021-01-17,72
2021-01-24,80
2021-01-31,73
2021-02-07,81
2021-02-14,87
2021-02-21,66
2021-02-28,70
2021-03-07,63
2021-03-14,65
2021-03-21,68
2021-03-28,65
2021-04-04,63
2021-04-11,61
2021-04-18,67
2021-04-25,65
2021-05-02,67
2021-05-09,64
2021-05-16,61
2021-05-23,63
2021-05-30,64
2021-06-06,64
2021-06-13,67
2021-06-20,70
2021-06-27,86
2021-07-04,71
2021-07-11,69
2021-07-18,72
2021-07-25,86
2021-08-01,65
2021-08-08,71
2021-08-15,73
2021-08-22,70
2021-08-29,74
2021-09-05,77
2021-09-12,72
2021-09-19,75
2021-09-26,77
2021-10-03,78
2021-10-10,85
