Kategoria: Wszystko

Tydzień,Zmiana klimatu: (Cały świat)
2018-01-07,32
2018-01-14,30
2018-01-21,30
2018-01-28,30
2018-02-04,30
2018-02-11,28
2018-02-18,30
2018-02-25,32
2018-03-04,30
2018-03-11,28
2018-03-18,27
2018-03-25,22
2018-04-01,25
2018-04-08,27
2018-04-15,32
2018-04-22,31
2018-04-29,29
2018-05-06,29
2018-05-13,30
2018-05-20,28
2018-05-27,25
2018-06-03,23
2018-06-10,19
2018-06-17,18
2018-06-24,19
2018-07-01,19
2018-07-08,17
2018-07-15,18
2018-07-22,20
2018-07-29,23
2018-08-05,25
2018-08-12,21
2018-08-19,20
2018-08-26,21
2018-09-02,23
2018-09-09,27
2018-09-16,27
2018-09-23,26
2018-09-30,27
2018-10-07,50
2018-10-14,39
2018-10-21,32
2018-10-28,33
2018-11-04,30
2018-11-11,34
2018-11-18,32
2018-11-25,49
2018-12-02,44
2018-12-09,37
2018-12-16,26
2018-12-23,15
2018-12-30,20
2019-01-06,29
2019-01-13,32
2019-01-20,33
2019-01-27,49
2019-02-03,39
2019-02-10,41
2019-02-17,38
2019-02-24,44
2019-03-03,42
2019-03-10,50
2019-03-17,41
2019-03-24,38
2019-03-31,37
2019-04-07,38
2019-04-14,41
2019-04-21,46
2019-04-28,49
2019-05-05,45
2019-05-12,48
2019-05-19,45
2019-05-26,37
2019-06-02,41
2019-06-09,35
2019-06-16,31
2019-06-23,32
2019-06-30,28
2019-07-07,29
2019-07-14,27
2019-07-21,30
2019-07-28,30
2019-08-04,31
2019-08-11,30
2019-08-18,36
2019-08-25,38
2019-09-01,36
2019-09-08,42
2019-09-15,74
2019-09-22,100
2019-09-29,56
2019-10-06,51
2019-10-13,46
2019-10-20,43
2019-10-27,40
2019-11-03,47
2019-11-10,48
2019-11-17,45
2019-11-24,43
2019-12-01,47
2019-12-08,46
2019-12-15,35
2019-12-22,21
2019-12-29,29
2020-01-05,51
2020-01-12,48
2020-01-19,41
2020-01-26,42
2020-02-02,41
2020-02-09,40
2020-02-16,43
2020-02-23,45
2020-03-01,42
2020-03-08,35
2020-03-15,26
2020-03-22,26
2020-03-29,27
2020-04-05,25
2020-04-12,26
2020-04-19,33
2020-04-26,31
2020-05-03,29
2020-05-10,29
2020-05-17,26
2020-05-24,23
2020-05-31,23
2020-06-07,23
2020-06-14,20
2020-06-21,19
2020-06-28,17
2020-07-05,17
2020-07-12,15
2020-07-19,17
2020-07-26,15
2020-08-02,16
2020-08-09,16
2020-08-16,20
2020-08-23,21
2020-08-30,23
2020-09-06,34
2020-09-13,47
2020-09-20,40
2020-09-27,36
2020-10-04,37
2020-10-11,35
2020-10-18,33
2020-10-25,28
2020-11-01,30
2020-11-08,30
2020-11-15,28
2020-11-22,26
2020-11-29,30
2020-12-06,28
2020-12-13,24
2020-12-20,15
2020-12-27,14
2021-01-03,21
2021-01-10,23
2021-01-17,28
2021-01-24,30
2021-01-31,26
2021-02-07,27
2021-02-14,37
2021-02-21,32
2021-02-28,31
2021-03-07,30
2021-03-14,31
2021-03-21,30
2021-03-28,25
2021-04-04,27
2021-04-11,27
2021-04-18,35
2021-04-25,31
2021-05-02,31
2021-05-09,26
2021-05-16,29
2021-05-23,28
2021-05-30,24
2021-06-06,24
2021-06-13,23
2021-06-20,22
2021-06-27,25
2021-07-04,21
2021-07-11,23
2021-07-18,22
2021-07-25,23
2021-08-01,21
2021-08-08,39
2021-08-15,23
2021-08-22,22
2021-08-29,26
2021-09-05,25
2021-09-12,29
2021-09-19,33
2021-09-26,28
2021-10-03,28
2021-10-10,33
