CreationDate,CreationDate
2016-08-31,731
2016-09-30,194
2016-10-31,146
2016-11-30,130
2016-12-31,144
2017-01-31,133
2017-02-28,101
2017-03-31,135
2017-04-30,125
2017-05-31,105
2017-06-30,109
2017-07-31,111
2017-08-31,158
2017-09-30,168
2017-10-31,192
2017-11-30,155
2017-12-31,200
2018-01-31,247
2018-02-28,197
2018-03-31,294
2018-04-30,279
2018-05-31,289
2018-06-30,265
2018-07-31,284
2018-08-31,333
2018-09-30,301
2018-10-31,356
2018-11-30,367
2018-12-31,296
2019-01-31,359
2019-02-28,451
2019-03-31,463
2019-04-30,406
2019-05-31,432
2019-06-30,400
2019-07-31,463
2019-08-31,403
2019-09-30,342
2019-10-31,431
2019-11-30,583
2019-12-31,382
2020-01-31,398
2020-02-29,472
2020-03-31,477
2020-04-30,748
2020-05-31,608
2020-06-30,599
2020-07-31,457
2020-08-31,485
2020-09-30,385
2020-10-31,372
2020-11-30,483
2020-12-31,475
2021-01-31,539
2021-02-28,395
