CreationDate,Pytania,Odpowiedzi
2016-08-31,244,380
2016-09-30,56,136
2016-10-31,44,102
2016-11-30,43,87
2016-12-31,54,82
2017-01-31,52,73
2017-02-28,43,56
2017-03-31,54,81
2017-04-30,42,81
2017-05-31,49,56
2017-06-30,41,68
2017-07-31,44,63
2017-08-31,69,87
2017-09-30,72,82
2017-10-31,78,104
2017-11-30,59,80
2017-12-31,80,92
2018-01-31,90,123
2018-02-28,79,100
2018-03-31,95,121
2018-04-30,108,105
2018-05-31,106,149
2018-06-30,91,150
2018-07-31,115,155
2018-08-31,118,207
2018-09-30,123,176
2018-10-31,154,182
2018-11-30,148,187
2018-12-31,120,156
2019-01-31,158,197
2019-02-28,167,172
2019-03-31,223,224
2019-04-30,190,166
2019-05-31,200,188
2019-06-30,174,186
2019-07-31,218,195
2019-08-31,185,212
2019-09-30,148,180
2019-10-31,186,223
2019-11-30,258,247
2019-12-31,227,153
2020-01-31,213,171
2020-02-29,260,194
2020-03-31,243,218
2020-04-30,357,351
2020-05-31,312,234
2020-06-30,303,220
2020-07-31,263,186
2020-08-31,268,191
2020-09-30,194,155
2020-10-31,187,137
2020-11-30,214,151
2020-12-31,227,156
2021-01-31,233,172
2021-02-28,208,151
