CreationDate,CreationDate
2010-03-31,2
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-31,1160
2010-08-31,2102
2010-09-30,1809
2010-10-31,2414
2010-11-30,3615
2010-12-31,3083
2011-01-31,3341
2011-02-28,4065
2011-03-31,5293
2011-04-30,5175
2011-05-31,5689
2011-06-30,5676
2011-07-31,5325
2011-08-31,5591
2011-09-30,7087
2011-10-31,7888
2011-11-30,8484
2011-12-31,7394
2012-01-31,7804
2012-02-29,9490
2012-03-31,10264
2012-04-30,10897
2012-05-31,11726
2012-06-30,11544
2012-07-31,10912
2012-08-31,10832
2012-09-30,13108
2012-10-31,16983
2012-11-30,18363
2012-12-31,17708
2013-01-31,18780
2013-02-28,21637
2013-03-31,25615
2013-04-30,25843
2013-05-31,26431
2013-06-30,21779
2013-07-31,20228
2013-08-31,20732
2013-09-30,24772
2013-10-31,30358
2013-11-30,31174
2013-12-31,30016
2014-01-31,28975
2014-02-28,28818
2014-03-31,32388
2014-04-30,33951
2014-05-31,31754
2014-06-30,27421
2014-07-31,24883
2014-08-31,24595
2014-09-30,30023
2014-10-31,36812
2014-11-30,35531
2014-12-31,32665
2015-01-31,32399
2015-02-28,32027
2015-03-31,35529
2015-04-30,35056
2015-05-31,36549
2015-06-30,30388
2015-07-31,28900
2015-08-31,27968
2015-09-30,32607
2015-10-31,37619
2015-11-30,36834
2015-12-31,33853
2016-01-31,32389
2016-02-29,33791
2016-03-31,36111
2016-04-30,34527
2016-05-31,33447
2016-06-30,30343
2016-07-31,26126
2016-08-31,26268
2016-09-30,30869
2016-10-31,35952
2016-11-30,34990
2016-12-31,32575
2017-01-31,35962
2017-02-28,34692
2017-03-31,37478
2017-04-30,37691
2017-05-31,36820
2017-06-30,31023
2017-07-31,27623
2017-08-31,27799
2017-09-30,31593
2017-10-31,36599
2017-11-30,36358
2017-12-31,33066
2018-01-31,34516
2018-02-28,31829
2018-03-31,34680
2018-04-30,34857
2018-05-31,33928
2018-06-30,26537
2018-07-31,24268
2018-08-31,25905
2018-09-30,28163
2018-10-31,32994
2018-11-30,31726
2018-12-31,27609
2019-01-31,29470
2019-02-28,27841
2019-03-31,30051
2019-04-30,29121
2019-05-31,30135
2019-06-30,25852
2019-07-31,24673
2019-08-31,24758
2019-09-30,27399
2019-10-31,31777
2019-11-30,31268
2019-12-31,28431
2020-01-31,28796
2020-02-29,27059
2020-03-31,31178
2020-04-30,37310
2020-05-31,36679
2020-06-30,32010
2020-07-31,28741
2020-08-31,27128
2020-09-30,29133
2020-10-31,32304
2020-11-30,31077
2020-12-31,30575
2021-01-31,31413
2021-02-28,29341
