CreationDate,Pytania,Odpowiedzi
2010-03-31,1,1
2010-04-30,0,0
2010-05-31,0,0
2010-06-30,0,0
2010-07-31,309,851
2010-08-31,576,1525
2010-09-30,564,1243
2010-10-31,838,1576
2010-11-30,1197,2418
2010-12-31,1074,2001
2011-01-31,1169,2172
2011-02-28,1483,2568
2011-03-31,1887,3356
2011-04-30,1979,3178
2011-05-31,2065,3574
2011-06-30,1934,3659
2011-07-31,1847,3386
2011-08-31,2071,3490
2011-09-30,2708,4345
2011-10-31,3063,4817
2011-11-30,3366,5088
2011-12-31,2847,4521
2012-01-31,3073,4703
2012-02-29,3747,5731
2012-03-31,4029,6219
2012-04-30,4310,6523
2012-05-31,4656,7035
2012-06-30,4356,7144
2012-07-31,4026,6828
2012-08-31,3971,6837
2012-09-30,4919,8173
2012-10-31,6774,10179
2012-11-30,7350,10971
2012-12-31,6888,10698
2013-01-31,7317,11421
2013-02-28,8379,13202
2013-03-31,9817,15746
2013-04-30,10317,15506
2013-05-31,10355,16038
2013-06-30,8423,13324
2013-07-31,7882,12318
2013-08-31,8118,12594
2013-09-30,10022,14724
2013-10-31,12414,17840
2013-11-30,13040,18090
2013-12-31,11848,18126
2014-01-31,11372,17543
2014-02-28,11748,17046
2014-03-31,13181,19193
2014-04-30,14077,19858
2014-05-31,13078,18658
2014-06-30,11053,16334
2014-07-31,9802,15067
2014-08-31,9659,14912
2014-09-30,12229,17736
2014-10-31,15246,21532
2014-11-30,14851,20648
2014-12-31,13193,19330
2015-01-31,13436,18929
2015-02-28,13438,18563
2015-03-31,15003,20486
2015-04-30,14800,20200
2015-05-31,14974,21403
2015-06-30,12556,17820
2015-07-31,11443,17433
2015-08-31,11278,16662
2015-09-30,13782,18801
2015-10-31,16282,21317
2015-11-30,16043,20761
2015-12-31,14112,19713
2016-01-31,13519,18852
2016-02-29,14227,19468
2016-03-31,15326,20689
2016-04-30,15204,19323
2016-05-31,14497,18934
2016-06-30,12509,17782
2016-07-31,10616,15466
2016-08-31,10734,15526
2016-09-30,13151,17702
2016-10-31,15504,20426
2016-11-30,15225,19755
2016-12-31,13581,18958
2017-01-31,14930,20970
2017-02-28,14831,19821
2017-03-31,16176,21284
2017-04-30,16215,21444
2017-05-31,15892,20906
2017-06-30,12932,18055
2017-07-31,11298,16277
2017-08-31,11385,16378
2017-09-30,13241,18342
2017-10-31,16019,20555
2017-11-30,15827,20511
2017-12-31,13713,19319
2018-01-31,14302,20204
2018-02-28,13373,18442
2018-03-31,14471,20191
2018-04-30,14984,19859
2018-05-31,14521,19391
2018-06-30,11379,15116
2018-07-31,10096,14098
2018-08-31,10756,15086
2018-09-30,11998,16157
2018-10-31,14448,18528
2018-11-30,13983,17729
2018-12-31,11859,15732
2019-01-31,12812,16642
2019-02-28,12107,15704
2019-03-31,13475,16546
2019-04-30,13150,15943
2019-05-31,13265,16844
2019-06-30,11209,14619
2019-07-31,10443,14204
2019-08-31,10363,14377
2019-09-30,11717,15636
2019-10-31,14180,17589
2019-11-30,14201,17043
2019-12-31,12715,15690
2020-01-31,12801,15959
2020-02-29,12203,14838
2020-03-31,14778,16380
2020-04-30,17960,19330
2020-05-31,17877,18772
2020-06-30,15381,16601
2020-07-31,13050,15571
2020-08-31,12452,14648
2020-09-30,13632,15479
2020-10-31,15679,16611
2020-11-30,15390,15671
2020-12-31,14612,15953
2021-01-31,14983,16426
2021-02-28,14350,14979
