CreationDate,CreationDate
2010-10-31,8
2010-11-30,2
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,375
2011-04-30,738
2011-05-31,453
2011-06-30,401
2011-07-31,278
2011-08-31,259
2011-09-30,329
2011-10-31,171
2011-11-30,228
2011-12-31,335
2012-01-31,286
2012-02-29,235
2012-03-31,220
2012-04-30,219
2012-05-31,243
2012-06-30,195
2012-07-31,259
2012-08-31,253
2012-09-30,182
2012-10-31,211
2012-11-30,332
2012-12-31,243
2013-01-31,253
2013-02-28,158
2013-03-31,162
2013-04-30,198
2013-05-31,175
2013-06-30,159
2013-07-31,188
2013-08-31,193
2013-09-30,197
2013-10-31,224
2013-11-30,288
2013-12-31,196
2014-01-31,409
2014-02-28,252
2014-03-31,336
2014-04-30,325
2014-05-31,350
2014-06-30,391
2014-07-31,175
2014-08-31,184
2014-09-30,230
2014-10-31,365
2014-11-30,266
2014-12-31,323
2015-01-31,307
2015-02-28,268
2015-03-31,297
2015-04-30,474
2015-05-31,509
2015-06-30,415
2015-07-31,407
2015-08-31,299
2015-09-30,315
2015-10-31,347
2015-11-30,299
2015-12-31,231
2016-01-31,244
2016-02-29,283
2016-03-31,223
2016-04-30,190
2016-05-31,252
2016-06-30,237
2016-07-31,175
2016-08-31,217
2016-09-30,262
2016-10-31,225
2016-11-30,270
2016-12-31,357
2017-01-31,288
2017-02-28,246
2017-03-31,339
2017-04-30,274
2017-05-31,331
2017-06-30,339
2017-07-31,304
2017-08-31,319
2017-09-30,281
2017-10-31,250
2017-11-30,211
2017-12-31,219
2018-01-31,224
2018-02-28,179
2018-03-31,151
2018-04-30,137
2018-05-31,247
2018-06-30,170
2018-07-31,180
2018-08-31,175
2018-09-30,131
2018-10-31,163
2018-11-30,163
2018-12-31,146
2019-01-31,89
2019-02-28,114
2019-03-31,102
2019-04-30,106
2019-05-31,114
2019-06-30,80
2019-07-31,89
2019-08-31,128
2019-09-30,135
2019-10-31,108
2019-11-30,113
2019-12-31,125
2020-01-31,111
2020-02-29,83
2020-03-31,109
2020-04-30,92
2020-05-31,111
2020-06-30,125
2020-07-31,133
2020-08-31,111
2020-09-30,137
2020-10-31,117
2020-11-30,91
2020-12-31,109
2021-01-31,164
2021-02-28,156
