CreationDate,Pytania,Odpowiedzi
2010-10-31,1,7
2010-11-30,0,2
2010-12-31,0,0
2011-01-31,0,0
2011-02-28,0,0
2011-03-31,92,281
2011-04-30,133,568
2011-05-31,80,325
2011-06-30,66,333
2011-07-31,51,215
2011-08-31,48,205
2011-09-30,72,257
2011-10-31,40,131
2011-11-30,52,170
2011-12-31,74,261
2012-01-31,64,220
2012-02-29,49,186
2012-03-31,50,170
2012-04-30,46,173
2012-05-31,56,187
2012-06-30,43,150
2012-07-31,45,210
2012-08-31,47,184
2012-09-30,36,130
2012-10-31,42,169
2012-11-30,61,271
2012-12-31,58,183
2013-01-31,44,209
2013-02-28,43,115
2013-03-31,39,119
2013-04-30,50,148
2013-05-31,45,130
2013-06-30,39,118
2013-07-31,47,139
2013-08-31,50,141
2013-09-30,57,140
2013-10-31,55,159
2013-11-30,83,201
2013-12-31,55,141
2014-01-31,72,329
2014-02-28,63,181
2014-03-31,90,246
2014-04-30,71,252
2014-05-31,98,244
2014-06-30,79,312
2014-07-31,43,132
2014-08-31,45,137
2014-09-30,62,166
2014-10-31,75,288
2014-11-30,53,209
2014-12-31,68,255
2015-01-31,61,246
2015-02-28,67,199
2015-03-31,68,225
2015-04-30,87,383
2015-05-31,107,396
2015-06-30,91,320
2015-07-31,101,302
2015-08-31,79,220
2015-09-30,95,218
2015-10-31,87,260
2015-11-30,76,221
2015-12-31,67,156
2016-01-31,68,174
2016-02-29,61,222
2016-03-31,61,158
2016-04-30,58,130
2016-05-31,62,190
2016-06-30,55,182
2016-07-31,49,126
2016-08-31,54,163
2016-09-30,61,201
2016-10-31,56,169
2016-11-30,53,213
2016-12-31,71,282
2017-01-31,64,224
2017-02-28,60,186
2017-03-31,69,270
2017-04-30,59,215
2017-05-31,65,266
2017-06-30,64,273
2017-07-31,56,248
2017-08-31,79,238
2017-09-30,47,230
2017-10-31,51,199
2017-11-30,43,164
2017-12-31,47,172
2018-01-31,47,177
2018-02-28,35,144
2018-03-31,36,115
2018-04-30,36,96
2018-05-31,52,165
2018-06-30,36,134
2018-07-31,35,143
2018-08-31,44,111
2018-09-30,26,95
2018-10-31,40,113
2018-11-30,40,123
2018-12-31,30,88
2019-01-31,24,65
2019-02-28,30,82
2019-03-31,27,59
2019-04-30,23,77
2019-05-31,32,80
2019-06-30,22,56
2019-07-31,30,59
2019-08-31,29,99
2019-09-30,31,102
2019-10-31,30,78
2019-11-30,31,82
2019-12-31,28,97
2020-01-31,28,83
2020-02-29,17,66
2020-03-31,30,75
2020-04-30,29,63
2020-05-31,27,79
2020-06-30,31,92
2020-07-31,38,91
2020-08-31,33,78
2020-09-30,27,110
2020-10-31,34,83
2020-11-30,23,68
2020-12-31,29,80
2021-01-31,35,129
2021-02-28,35,121
