kraj,Score
Kuwait,12.666666666666666
Singapore,3.590909090909091
New Zealand,3.5
China,3.1875
Germany,3.094017094017094
Mexico,3.0
Latvia,2.85
Japan,2.7450980392156863
Canada,2.5706806282722514
France,2.5256410256410255
Kenya,2.5
Iceland,2.5
Greece,2.4761904761904763
United Kingdom,2.460949464012251
Netherlands,2.4014084507042255
Cyprus,2.375
Australia,2.3
Thailand,2.25
Poland,2.227272727272727
United States,2.2044025157232703
Austria,2.1944444444444446
Ireland,2.16
South Africa,2.12
Iran,2.066666666666667
Estonia,2.0
Ecuador,2.0
Hungary,2.0
Malta,2.0
Uruguay,2.0
Denmark,1.9375
Ukraine,1.9
Bulgaria,1.875
Brazil,1.8620689655172413
India,1.845724907063197
Italy,1.8235294117647058
Norway,1.8181818181818181
Hong Kong,1.7903225806451613
Israel,1.7714285714285714
Czech Republic,1.75
Nepal,1.7142857142857142
Morocco,1.6
Croatia,1.5789473684210527
Spain,1.5476190476190477
Switzerland,1.5263157894736843
Philippines,1.5
Oman,1.5
Indonesia,1.446808510638298
Pakistan,1.3846153846153846
Finland,1.375
Belgium,1.3387096774193548
Sri Lanka,1.2222222222222223
Guatemala,1.2
Colombia,1.1428571428571428
Argentina,1.1111111111111112
Zimbabwe,1.0588235294117647
Niger,1.0
Malaysia,1.0
Kazakhstan,1.0
Belarus,1.0
Cuba,1.0
Tunisia,1.0
Costa Rica,1.0
Sweden,0.8571428571428571
Chile,0.6666666666666666
Turkey,0.6666666666666666
United Arab Emirates,0.6666666666666666
Slovakia,0.5
Portugal,0.42857142857142855
Serbia,0.4
Bangladesh,0.14285714285714285
Ethiopia,0.0
Georgia,0.0
Algeria,0.0
Lithuania,-1.0
