kraj,l. użytkowników,l. postów,Ratio
India,3372,1283,0.3804863582443654
United States,1344,520,0.3869047619047619
Germany,743,261,0.351278600269179
Canada,583,276,0.4734133790737564
France,470,132,0.28085106382978725
United Kingdom,452,726,1.6061946902654867
Australia,331,123,0.3716012084592145
Pakistan,275,93,0.3381818181818182
Netherlands,256,219,0.85546875
Bangladesh,242,19,0.07851239669421488
Brazil,225,62,0.27555555555555555
Iran,220,85,0.38636363636363635
China,210,46,0.21904761904761905
Italy,195,97,0.49743589743589745
Indonesia,195,81,0.4153846153846154
Spain,178,146,0.8202247191011236
Poland,157,69,0.4394904458598726
Turkey,153,25,0.16339869281045752
Switzerland,146,62,0.4246575342465753
Singapore,134,36,0.26865671641791045
Sri Lanka,132,27,0.20454545454545456
Sweden,126,55,0.4365079365079365
Israel,122,93,0.7622950819672131
Belgium,107,77,0.719626168224299
South Africa,106,67,0.6320754716981132
Egypt,105,8,0.0761904761904762
Japan,101,66,0.6534653465346535
Nepal,100,25,0.25
Ukraine,92,14,0.15217391304347827
Austria,92,66,0.717391304347826
Greece,92,36,0.391304347826087
Oman,90,20,0.2222222222222222
Niger,84,5,0.05952380952380952
Ireland,82,67,0.8170731707317073
Argentina,81,16,0.19753086419753085
Portugal,81,23,0.2839506172839506
Malaysia,71,14,0.19718309859154928
Norway,68,42,0.6176470588235294
Thailand,67,25,0.373134328358209
Denmark,65,27,0.4153846153846154
Hungary,62,16,0.25806451612903225
Czech Republic,59,10,0.1694915254237288
Philippines,58,9,0.15517241379310345
Colombia,58,22,0.3793103448275862
Finland,57,45,0.7894736842105263
Mexico,56,24,0.42857142857142855
Kenya,56,7,0.125
New Zealand,55,9,0.16363636363636364
Hong Kong,52,67,1.2884615384615385
Morocco,49,14,0.2857142857142857
Bulgaria,49,20,0.40816326530612246
United Arab Emirates,36,10,0.2777777777777778
Tunisia,35,16,0.45714285714285713
Algeria,30,4,0.13333333333333333
Chile,29,8,0.27586206896551724
Slovakia,25,5,0.2
Serbia,24,13,0.5416666666666666
Croatia,24,20,0.8333333333333334
Saudi Arabia,22,2,0.09090909090909091
Lebanon,21,5,0.23809523809523808
Dominica,21,1,0.047619047619047616
Latvia,20,21,1.05
Belarus,20,2,0.1
Ghana,19,1,0.05263157894736842
Uruguay,18,2,0.1111111111111111
Estonia,17,3,0.17647058823529413
Lithuania,16,4,0.25
Cuba,15,6,0.4
Malta,15,10,0.6666666666666666
Zimbabwe,12,17,1.4166666666666667
Costa Rica,12,3,0.25
Georgia,11,3,0.2727272727272727
Kazakhstan,10,3,0.3
Antarctica,10,1,0.1
Jordan,9,1,0.1111111111111111
Cyprus,9,9,1.0
Iceland,9,15,1.6666666666666667
Ethiopia,8,1,0.125
Guatemala,8,7,0.875
Ecuador,7,2,0.2857142857142857
Qatar,5,1,0.2
Kuwait,3,6,2.0
Congo,2,1,0.5
Trinidad and Tobago,2,1,0.5
Honduras,2,2,1.0
Republic of Korea,2,4,2.0
