kraj,l. użytkowników,l. postów,Ratio
India,17888,88167,4.928834973166368
United States,11478,107398,9.356856595225649
Canada,5310,55088,10.374387947269303
Germany,5220,86862,16.640229885057472
United Kingdom,5015,32201,6.420937188434696
Australia,3040,19924,6.553947368421053
France,2925,46120,15.767521367521368
China,2100,9328,4.441904761904762
Netherlands,1986,28113,14.15558912386707
Brazil,1948,12050,6.185831622176591
Italy,1501,49304,32.847435043304465
Iran,1401,7994,5.705924339757316
Sweden,1387,12107,8.728911319394376
Israel,1351,8943,6.619541080680977
Bangladesh,1273,1760,1.382560879811469
Pakistan,1170,2634,2.2512820512820513
Switzerland,1148,12678,11.043554006968641
Poland,1141,5272,4.620508326029799
Spain,1074,11152,10.383612662942271
Singapore,943,15477,16.412513255567337
Turkey,880,3151,3.580681818181818
Belgium,816,16624,20.372549019607842
Japan,790,4091,5.178481012658228
Denmark,764,9860,12.905759162303665
Ukraine,746,4646,6.227882037533512
South Africa,731,2375,3.2489740082079344
Oman,690,1976,2.863768115942029
Egypt,685,940,1.3722627737226278
Ireland,660,6610,10.015151515151516
Austria,655,9641,14.719083969465649
Norway,653,4972,7.614088820826953
Portugal,629,15082,23.977742448330684
Greece,628,3892,6.197452229299363
Argentina,602,7550,12.541528239202657
Sri Lanka,599,1131,1.8881469115191987
Indonesia,584,1527,2.61472602739726
New Zealand,563,1568,2.7850799289520425
Hong Kong,543,6299,11.60036832412523
Mexico,542,9190,16.95571955719557
Philippines,509,3184,6.255402750491159
Finland,509,5336,10.483300589390963
Czech Republic,490,2667,5.442857142857143
Colombia,441,2836,6.430839002267573
Hungary,409,3235,7.909535452322738
Nepal,400,1023,2.5575
Malaysia,391,2469,6.31457800511509
Taiwan,361,1682,4.659279778393352
Bulgaria,352,1472,4.181818181818182
Chile,345,3598,10.428985507246377
Niger,315,581,1.8444444444444446
Thailand,247,567,2.2955465587044532
Croatia,229,1939,8.467248908296943
Kenya,220,71,0.32272727272727275
Serbia,218,1063,4.876146788990826
Morocco,200,4845,24.225
United Arab Emirates,199,613,3.080402010050251
Slovakia,198,2164,10.929292929292929
Lithuania,187,359,1.9197860962566844
Belarus,181,238,1.3149171270718232
Estonia,168,818,4.869047619047619
Georgia,161,1547,9.608695652173912
Slovenia,147,4514,30.707482993197278
