kraj,0
India,17888
United States,11478
Canada,5310
Germany,5220
United Kingdom,5015
Australia,3040
France,2925
China,2100
Netherlands,1986
Brazil,1948
Italy,1501
Iran,1401
Sweden,1387
Israel,1351
Bangladesh,1273
Pakistan,1170
Switzerland,1148
Poland,1141
Spain,1074
Singapore,943
Turkey,880
Belgium,816
Japan,790
Denmark,764
Ukraine,746
South Africa,731
Oman,690
Egypt,685
Ireland,660
Austria,655
Norway,653
Portugal,629
Greece,628
Argentina,602
Sri Lanka,599
Indonesia,584
New Zealand,563
Hong Kong,543
Mexico,542
Philippines,509
Finland,509
Czech Republic,490
Colombia,441
Hungary,409
Nepal,400
Malaysia,391
Taiwan,361
Bulgaria,352
Chile,345
Niger,315
Thailand,247
Croatia,229
Kenya,220
Serbia,218
Morocco,200
United Arab Emirates,199
Slovakia,198
Lithuania,187
Belarus,181
Estonia,168
Georgia,161
Slovenia,147
Jersey,143
Algeria,140
Armenia,138
Lebanon,138
Latvia,126
Saudi Arabia,120
Peru,108
Venezuela,105
Jordan,105
Tunisia,104
Uruguay,103
Azerbaijan,100
Ghana,91
Bosnia and Herzegovina,91
Costa Rica,80
Kazakhstan,78
Iceland,75
Luxembourg,72
Albania,68
Iraq,64
Cyprus,62
Moldova,61
Dominica,60
Ethiopia,59
Malta,58
Ecuador,58
Antarctica,57
Macedonia,57
Uzbekistan,55
Cuba,48
Cambodia,46
Uganda,42
Puerto Rico,42
Zimbabwe,42
Myanmar,40
Guatemala,40
Qatar,40
Russian Federation,38
Bolivia,34
Fiji,32
Afghanistan,32
Cameroon,31
Republic of Korea,31
Tanzania,29
Jamaica,28
Kuwait,28
Paraguay,25
Bahrain,24
Viet Nam,23
Mongolia,21
Mauritius,20
Trinidad and Tobago,19
Zambia,19
Kyrgyzstan,18
Namibia,17
Panama,16
Libya,16
Madagascar,14
El Salvador,13
Rwanda,13
Botswana,12
Bermuda,11
Yemen,11
Sudan,11
Mozambique,10
Greenland,9
Maldives,9
Nicaragua,8
Honduras,8
Angola,8
Mali,8
Malawi,7
Togo,6
Congo,6
Senegal,6
Belize,5
Tajikistan,5
AndorrA,5
Burkina Faso,5
Virgin Islands,5
Guinea,5
Lesotho,5
Monaco,5
Cayman Islands,4
Swaziland,4
Bahamas,4
Turkmenistan,4
Bhutan,4
Tonga,4
Isle of Man,4
Liechtenstein,3
Aruba,3
Gibraltar,3
Haiti,3
Faroe Islands,3
French Polynesia,3
Sierra Leone,3
Liberia,3
Suriname,2
Guadeloupe,2
Benin,2
Eritrea,2
Vanuatu,2
Solomon Islands,2
Pitcairn,2
Guernsey,2
Burundi,2
Mauritania,2
Guyana,2
Macao,1
Kiribati,1
Guam,1
New Caledonia,1
Grenada,1
Seychelles,1
Samoa,1
Martinique,1
Tuvalu,1
Svalbard and Jan Mayen,1
Djibouti,1
Gambia,1
Timor-Leste,1
Falkland Islands,1
Christmas Island,1
Mayotte,1
Cape Verde,1
San Marino,1
