kraj,Score
Hungary,18.0
Japan,10.37007874015748
Austria,8.351063829787234
Belgium,8.202702702702704
New Zealand,8.166666666666666
United States,7.913953488372093
Sweden,7.704663212435233
Iran,7.5
Switzerland,7.382978723404255
Georgia,6.916666666666667
Serbia,6.8
Ireland,6.625
China,6.5
United Kingdom,6.43236074270557
Mexico,6.25
Slovenia,6.0
Macedonia,6.0
Germany,5.9
Denmark,5.881720430107527
Poland,5.651933701657459
Finland,5.583333333333333
Canada,5.489224137931035
Netherlands,5.209150326797386
Israel,5.105263157894737
Jersey,5.024390243902439
Slovakia,5.0
France,4.965116279069767
Turkey,4.666666666666667
United Arab Emirates,4.5
Italy,4.5
Niger,4.5
Australia,4.482889733840304
Portugal,4.2
Cyprus,3.9047619047619047
Brazil,3.2093023255813953
Oman,3.1666666666666665
India,3.1296296296296298
Thailand,3.0
Singapore,3.0
Cote D'Ivoire,3.0
Argentina,3.0
Luxembourg,3.0
Norway,2.9411764705882355
Lebanon,2.75
Czech Republic,2.5757575757575757
Estonia,2.3333333333333335
Malaysia,2.2857142857142856
Malta,2.0
Colombia,2.0
Chile,2.0
Hong Kong,2.0
Spain,1.8571428571428572
Ecuador,1.5
Bosnia and Herzegovina,1.5
South Africa,1.35
Philippines,1.3333333333333333
Pakistan,1.2142857142857142
Latvia,1.2
Bulgaria,1.1666666666666667
Saudi Arabia,1.0
Russian Federation,1.0
Croatia,0.8
Sri Lanka,0.3333333333333333
Guatemala,0.0
Jamaica,0.0
Myanmar,0.0
Greece,0.0
Ukraine,0.0
Iceland,0.0
Bolivia,0.0
Uganda,-3.0
