kraj,l. użytkowników,l. postów,Ratio
United States,1389,2030,1.4614830813534918
United Kingdom,844,1317,1.5604265402843602
India,768,199,0.2591145833333333
Canada,537,573,1.0670391061452513
Germany,510,339,0.6647058823529411
Australia,394,342,0.868020304568528
Netherlands,237,178,0.7510548523206751
France,224,120,0.5357142857142857
Sweden,141,210,1.4893617021276595
Brazil,117,56,0.47863247863247865
New Zealand,109,97,0.8899082568807339
Poland,109,261,2.3944954128440368
Indonesia,106,3,0.02830188679245283
Spain,96,21,0.21875
Belgium,92,94,1.0217391304347827
Switzerland,91,52,0.5714285714285714
Israel,90,72,0.8
Denmark,87,101,1.160919540229885
Ireland,83,47,0.5662650602409639
Austria,78,512,6.564102564102564
Italy,76,13,0.17105263157894737
Pakistan,71,23,0.323943661971831
Oman,70,10,0.14285714285714285
China,64,6,0.09375
Czech Republic,63,42,0.6666666666666666
Norway,62,39,0.6290322580645161
Finland,59,62,1.0508474576271187
Portugal,58,18,0.3103448275862069
South Africa,56,47,0.8392857142857143
Japan,53,190,3.5849056603773586
Iran,47,14,0.2978723404255319
Turkey,47,19,0.40425531914893614
Bangladesh,46,2,0.043478260869565216
Singapore,46,20,0.43478260869565216
Mexico,40,10,0.25
Greece,38,9,0.23684210526315788
Egypt,38,3,0.07894736842105263
Hungary,38,9,0.23684210526315788
Ukraine,36,6,0.16666666666666666
Malaysia,35,8,0.22857142857142856
United Arab Emirates,30,9,0.3
Argentina,29,8,0.27586206896551724
Philippines,28,7,0.25
Sri Lanka,25,5,0.2
Estonia,24,6,0.25
Jersey,24,61,2.5416666666666665
Croatia,23,9,0.391304347826087
Hong Kong,23,11,0.4782608695652174
Thailand,21,9,0.42857142857142855
Latvia,19,8,0.42105263157894735
Bulgaria,18,9,0.5
Slovakia,16,3,0.1875
Chile,14,3,0.21428571428571427
Colombia,14,2,0.14285714285714285
Slovenia,12,2,0.16666666666666666
Niger,12,2,0.16666666666666666
Uruguay,11,2,0.18181818181818182
Cyprus,10,21,2.1
Kenya,9,1,0.1111111111111111
Luxembourg,9,8,0.8888888888888888
Serbia,8,11,1.375
Georgia,8,100,12.5
Peru,8,2,0.25
Saudi Arabia,7,3,0.42857142857142855
Bosnia and Herzegovina,6,2,0.3333333333333333
Bolivia,5,1,0.2
Iceland,5,1,0.2
Ecuador,5,2,0.4
Tunisia,5,1,0.2
Malta,4,1,0.25
Cambodia,4,1,0.25
Guatemala,4,1,0.25
Costa Rica,4,2,0.5
Russian Federation,3,6,2.0
Ghana,3,1,0.3333333333333333
Macedonia,3,4,1.3333333333333333
Jamaica,3,1,0.3333333333333333
Uganda,3,2,0.6666666666666666
Morocco,3,1,0.3333333333333333
Lebanon,3,15,5.0
Cote D'Ivoire,1,1,1.0
Libya,1,1,1.0
Myanmar,1,3,3.0
