kraj,0
United States,1389
United Kingdom,844
India,768
Canada,537
Germany,510
Australia,394
Netherlands,237
France,224
Sweden,141
Brazil,117
Poland,109
New Zealand,109
Indonesia,106
Spain,96
Belgium,92
Switzerland,91
Israel,90
Denmark,87
Ireland,83
Austria,78
Italy,76
Pakistan,71
Oman,70
China,64
Czech Republic,63
Norway,62
Finland,59
Portugal,58
South Africa,56
Japan,53
Turkey,47
Iran,47
Bangladesh,46
Singapore,46
Mexico,40
Greece,38
Egypt,38
Hungary,38
Ukraine,36
Malaysia,35
United Arab Emirates,30
Argentina,29
Philippines,28
Sri Lanka,25
Estonia,24
Jersey,24
Croatia,23
Hong Kong,23
Thailand,21
Latvia,19
Taiwan,18
Bulgaria,18
Slovakia,16
Colombia,14
Chile,14
Slovenia,12
Nepal,12
Niger,12
Uruguay,11
Lithuania,11
Cyprus,10
Kenya,9
Luxembourg,9
Peru,8
Belarus,8
Serbia,8
Georgia,8
Saudi Arabia,7
Azerbaijan,6
Antarctica,6
Algeria,6
Bosnia and Herzegovina,6
Kazakhstan,5
Bolivia,5
Venezuela,5
Jordan,5
Iceland,5
Ecuador,5
Tunisia,5
Costa Rica,4
Ethiopia,4
Guatemala,4
Puerto Rico,4
Malta,4
Cambodia,4
Paraguay,4
Congo,3
Russian Federation,3
Ghana,3
Dominica,3
Macedonia,3
Armenia,3
Jamaica,3
Uganda,3
Cuba,3
Morocco,3
Tanzania,3
Lebanon,3
Suriname,2
Zambia,2
Viet Nam,2
Kuwait,2
Bahrain,2
Namibia,2
Moldova,2
Kyrgyzstan,2
Qatar,2
Republic of Korea,1
Falkland Islands,1
Benin,1
Burkina Faso,1
Uzbekistan,1
Burundi,1
Cote D'Ivoire,1
El Salvador,1
Angola,1
Iraq,1
Libya,1
Tonga,1
Madagascar,1
Tajikistan,1
Myanmar,1
Nicaragua,1
Zimbabwe,1
